Player,Score
LYNxxxxx,48702.18951146887
spiderpugz,48685.39407160803
mulanv44,48683.53150587398
C0daaa,48683.53150587398
Kx,48646.81000500726
boolarbear,48610.13003646753
Dimiros,48511.92050891227
Resshin27,48477.33706997627
Ruah777,48474.914617924354
MageG,48474.8502981577
SlyHasFallen,48427.35099152946
RetroDude42,48408.281043028335
Boba89,48390.918906310064
Whiplash06,48373.80834976989
Sunset_M,48354.52791763156
troeskagg,48354.52791763156
SrPancho,48339.37246664685
DannyDannyPham,48318.17796370626
CalyxAndKaylex,48270.610921342326
zwielichtengelchen,48252.68779384813
Jowel35,48245.60091354461
Cavernosa,48236.285154661295
Delerzum,48205.49690396265
Ekoskiis,48173.18726384042
Squeal,48173.18726384042
Daniclo,48167.7433726888
jraytier,48167.7433726888
7kisHoshino,48133.52725345381
brennemania,48120.12204165337
Sorvan,48099.34757957773
LongNotes,48028.84820708086
Readypanda,48028.84820708086
J535,47992.86480455492
recurringfear,47956.92182524654
TheDawsoning,47956.92182524654
Skribe_of_Sirkles,47944.64477325539
stasio6,47921.01920863061
Thorneto,47921.01920863061
Jowh,47921.01920863061
Pathey,47885.156894295236
shovelbros,47849.33482194154
Chemposer,47813.55293138335
Sogard,47773.29517728786
DrDabaniel,47742.109455470876
volframC,47670.825987313445
paddylb,47658.304929215556
choombert,47624.630099014845
SplumonkeyMan,47624.630099014845
Parallax2137,47599.702049454216
Bluedime,47493.31422191518
Valaar_,47490.28706268126
AllieCat523,47423.32861198254
Flay,47389.90247831633
ckho92,47387.28266974339
Ashbvrn,47387.28266974339
Sholzi,47352.017716419556
